Sample,Height_cm,Date
BM3.16.6,48,11-Nov
BM3.24.1,39,11-Nov
BM3.24.2,42,11-Nov
BM3.24.3,36,11-Nov
BM3.24.4,62,11-Nov
BM3.24.5,39,11-Nov
BM3.24.6,58,11-Nov
BM4.0.1,53,11-Nov
BM4.0.2,35,11-Nov
BM4.0.3,40,11-Nov
BM4.0.4,54,11-Nov
BM4.0.5,60,11-Nov
BM4.0.6,37,11-Nov
BM4.8.1,30,11-Nov
BM4.8.2,30,11-Nov
BM4.8.3,31,11-Nov
BM4.8.4,31,11-Nov
BM4.8.5,35,11-Nov
BM4.8.6,37,11-Nov
BM4.16.1,26,11-Nov
BM4.16.2,41,11-Nov
BM4.16.3,45,11-Nov
BM4.16.4,32,11-Nov
BM4.16.5,35,11-Nov
BM4.16.6,31,11-Nov
BM4.24.1,30,11-Nov
BM4.24.2,30,11-Nov
BM4.24.3,56,11-Nov
BM4.24.4,42,11-Nov
BM4.24.5,26,11-Nov
BM4.24.6,30,11-Nov
BM5.0.1,42,11-Nov
BM5.0.2,52,11-Nov
BM5.0.3,58,11-Nov
BM5.0.4,63,11-Nov
BM5.0.5,37,11-Nov
BM5.0.6,43,11-Nov
BM5.8.1,26,11-Nov
BM5.8.2,37,11-Nov
BM5.8.3,31,11-Nov
BM5.8.4,60,11-Nov
BM5.8.5,48,11-Nov
BM5.8.6,27,11-Nov
BM5.16.1,35,11-Nov
BM5.16.2,39,11-Nov
BM5.16.3,52,11-Nov
BM5.16.4,36,11-Nov
BM5.16.5,43,11-Nov
BM5.16.6,52,11-Nov
BM5.24.1,32,11-Nov
BM5.24.2,60,11-Nov
BM5.24.3,50,11-Nov
BM5.24.4,45,11-Nov
BM5.24.5,41,11-Nov
BM5.24.6,48,11-Nov
BM6.0.1,35,11-Nov
BM6.0.2,32,11-Nov
BM6.0.3,42,11-Nov
BM6.0.4,50,11-Nov
BM6.0.5,60,11-Nov
BM6.0.6,51,11-Nov
BM6.8.1,60,11-Nov
BM6.8.2,36,11-Nov
BM6.8.3,44,11-Nov
BM6.8.4,37,11-Nov
BM6.8.5,35,11-Nov
BM6.8.6,30,11-Nov
BM6.16.1,31,11-Nov
BM6.16.2,46,11-Nov
BM6.16.3,34,11-Nov
BM6.16.4,40,11-Nov
BM6.16.5,56,11-Nov
BM6.16.6,32,11-Nov
BM6.24.1,43,11-Nov
BM6.24.2,37,11-Nov
BM6.24.3,27,11-Nov
BM6.24.4,33,11-Nov
BM6.24.5,42,11-Nov
BM6.24.6,33,11-Nov
LB1.0.1,15,15-Nov
LB1.0.2,19,15-Nov
LB1.0.3,23,15-Nov
LB1.0.4,24,15-Nov
LB1.0.5,25,15-Nov
LB1.0.6,33,15-Nov
LB1.8.1,9,15-Nov
LB1.8.2,,15-Nov
LB1.8.3,5,15-Nov
LB1.8.4,6,15-Nov
LB1.8.5,8,15-Nov
LB1.8.6,7,15-Nov
LB1.16.1,6,15-Nov
LB1.16.2,9,15-Nov
LB1.16.3,16,15-Nov
LB1.16.4,10,15-Nov
LB1.16.5,13,15-Nov
LB1.16.6,13,15-Nov
LB1.24.1,8,15-Nov
LB1.24.2,11,15-Nov
LB1.24.3,7,15-Nov
LB1.24.4,4,15-Nov
BL1.24.5,9,15-Nov
LB1.24.6,9,15-Nov
LB2.0.1,5,15-Nov
LB2.0.2,7,15-Nov
LB2.0.3,8,15-Nov
LB2.0.4,6,15-Nov
LB2.0.5,4,15-Nov
LB2.0.6,6,15-Nov
LB2.8.1,8,15-Nov
LB2.8.2,12,15-Nov
LB2.8.3,4,15-Nov
LB2.8.4,8,15-Nov
LB2.8.5,8,15-Nov
LB2.8.6,6,15-Nov
LB2.16.1,4,15-Nov
LB2.16.2,23,15-Nov
LB2.16.3,10,15-Nov
LB2.16.4,5,15-Nov
LB2.16.5,4,15-Nov
LB2.16.6,7,15-Nov
LB2.24.1,5,15-Nov
LB2.24.2,5,15-Nov
LB2.24.3,4,15-Nov
LB2.24.4,6,15-Nov
LB2.24.5,20,15-Nov
LB2.24.6,6,15-Nov
LB3.0.1,11,15-Nov
LB3.0.2,20,15-Nov
LB3.0.3,7,15-Nov
LB3.0.4,9,15-Nov
LB3.0.5,7,15-Nov
LB3.0.6,7,15-Nov
LB3.8.1,8,15-Nov
LB3.8.2,13,15-Nov
LB3.8.3,14,15-Nov
LB3.8.4,7,15-Nov
LB3.8.5,7,15-Nov
LB3.8.6,11,15-Nov
LB3.16.1,9,15-Nov
LB3.16.2,7,15-Nov
LB3.16.3,4,15-Nov
LB3.16.4,8,15-Nov
LB3.16.5,8,15-Nov
LB3.16.6,6,15-Nov
LB3.24.1,19,15-Nov
LB3.24.2,14,15-Nov
LB3.24.3,7,15-Nov
LB3.24.4,5,15-Nov
LB3.24.5,6,15-Nov
LB3.24.6,13,15-Nov
LB4.0.1,8,15-Nov
LB4.0.2,3,15-Nov
LB4.0.3,7,15-Nov
LB4.0.4,21,15-Nov
LB4.0.5,8,15-Nov
LB4.0.6,7,15-Nov
LB4.8.1,7,15-Nov
LB4.8.2,9,15-Nov
LB4.8.3,14,15-Nov
LB4.8.4,17,15-Nov
LB4.8.5,6,15-Nov
LB4.8.6,8,15-Nov
LB4.16.1,3,15-Nov
LB4.16.2,,15-Nov
LB4.16.3,5,15-Nov
LB4.16.4,6,15-Nov
LB4.16.5,6,15-Nov
LB4.16.6,6,15-Nov
LB4.24.1,10,15-Nov
LB4.24.2,13,15-Nov
LB4.24.3,10,15-Nov
LB4.24.4,,15-Nov
LB4.24.5,8,15-Nov
LB4.24.6,13,15-Nov
LB5.0.1,10,15-Nov
LB5.0.2,16,15-Nov
LB5.0.3,16,15-Nov
LB5.0.4,14,15-Nov
LB5.0.5,10,15-Nov
LB5.0.6,10,15-Nov
LB5.8.1,8,15-Nov
LB5.8.2,7,15-Nov
LB5.8.3,5,15-Nov
LB5.8.4,6,15-Nov
LB5.8.5,7,15-Nov
LB5.8.6,7,15-Nov
LB5.16.1,5,15-Nov
LB5.16.2,8,15-Nov
LB5.16.3,5,15-Nov
LB5.16.4,3,15-Nov
LB5.16.5,8,15-Nov
LB5.16.6,7,15-Nov
LB5.24.1,7,15-Nov
LB5.24.2,16,15-Nov
LB5.24.3,15,15-Nov
LB5.24.4,8,15-Nov
LB5.24.5,20,15-Nov
LB5.24.6,,15-Nov
LB6.0.1,14,15-Nov
LB6.0.2,9,15-Nov
LB6.0.3,7,15-Nov
LB6.0.4,8,15-Nov
LB6.0.5,8,15-Nov
LB6.0.6,6,15-Nov
LB6.8.1,20,15-Nov
LB6.8.2,6,15-Nov
LB6.8.3,10,15-Nov
LB6.8.4,21,15-Nov
LB6.8.5,12,15-Nov
LB6.8.6,7,15-Nov
LB6.16.1,6,15-Nov
LB6.16.2,7,15-Nov
LB6.16.3,7,15-Nov
LB6.16.4,7,15-Nov
LB6.16.5,10,15-Nov
LB6.16.6,8,15-Nov
LB6.24.1,7,15-Nov
LB6.24.2,6,15-Nov
LB6.24.3,5,15-Nov
LB6.24.4,4,15-Nov
LB6.24.5,7,15-Nov
LB6.24.6,9,15-Nov
BG1.0.1,59,15-Nov
BG1.0.2,43,15-Nov
BG1.0.3,51,15-Nov
BG1.0.4,55,15-Nov
BG1.0.5,39,15-Nov
BG1.0.6,61,15-Nov
BG1.8.1,46,15-Nov
BG1.8.2,48,15-Nov
BG1.8.3,39,15-Nov
BG1.8.4,48,15-Nov
BG1.8.5,53,15-Nov
BG1.8.6,45,15-Nov
BG1.16.1,43,15-Nov
BG1.16.2,41,15-Nov
BG1.16.3,48,15-Nov
BG1.16.4,53,15-Nov
BG1.16.5,56,15-Nov
BG1.16.6,,15-Nov
BG1.24.1,11,15-Nov
BG1.24.2,48,15-Nov
BG1.24.3,,15-Nov
BG1.24.4,51,15-Nov
BG1.24.5,35,15-Nov
BG1.24.6,33,15-Nov
BG2.0.1,47,15-Nov
BG2.0.2,40,15-Nov
BG2.0.3,54,15-Nov
BG2.0.4,53,15-Nov
BG2.0.5,51,15-Nov
BG2.0.6,48,15-Nov
BG2.8.1,47,15-Nov
BG2.8.2,41,15-Nov
BG2.8.3,60,15-Nov
BG2.8.4,49,15-Nov
BG2.8.5,52,15-Nov
BG2.8.6,43,15-Nov
BG2.16.1,45,15-Nov
BG2.16.2,49,15-Nov
BG2.16.3,45,15-Nov
BG2.16.4,15,15-Nov
BG2.16.5,50,15-Nov
BG2.16.6,48,15-Nov
BG2.24.1,35,15-Nov
BG2.24.2,45,15-Nov
BG2.24.3,41,15-Nov
BG2.24.4,44,15-Nov
BG2.24.5,38,15-Nov
BG2.24.6,,15-Nov
BG3.0.1,28,15-Nov
BG3.0.2,43,15-Nov
BG3.0.3,27,15-Nov
BG3.0.4,39,15-Nov
BG3.0.5,29,15-Nov
BG3.0.6,38,15-Nov
BG3.8.1,42,15-Nov
BG3.8.2,34,15-Nov
BG3.8.3,38,15-Nov
BG3.8.4,40,15-Nov
BG3.8.5,40,15-Nov
BG3.8.6,33,15-Nov
BG3.16.1,44,15-Nov
BG3.16.2,42,15-Nov
BG3.16.3,40,15-Nov
BG3.16.4,31,15-Nov
BG3.16.5,45,15-Nov
BG3.16.6,30,15-Nov
BG3.24.1,17,15-Nov
BG3.24.2,,15-Nov
BG3.24.3,41,15-Nov
BG3.24.4,42,15-Nov
BG3.24.5,30,15-Nov
BG3.24.6,,15-Nov
BG4.0.1,31,15-Nov
BG4.0.2,46,15-Nov
BG4.0.3,52,15-Nov
BG4.0.4,36,15-Nov
BG4.0.5,65,15-Nov
BG4.0.6,48,15-Nov
BG4.8.1,35,15-Nov
BG4.8.2,41,15-Nov
BG4.8.3,60,15-Nov
BG4.8.4,42,15-Nov
BG4.8.5,46,15-Nov
BG4.8.6,,15-Nov
BG4.16.1,,15-Nov
BG4.16.2,,15-Nov
BG4.16.3,,15-Nov
BG4.16.4,35,15-Nov
BG4.16.5,39,15-Nov
BG4.16.6,,15-Nov
BG4.24.1,7,15-Nov
BG4.24.2,12,15-Nov
BG4.24.3,15,15-Nov
BG4.24.4,32,15-Nov
BG4.24.5,,15-Nov
BG4.24.6,,15-Nov
BG5.0.1,59,15-Nov
BG5.0.2,51,15-Nov
BG5.0.3,58,15-Nov
BG5.0.4,58,15-Nov
BG5.0.5,42,15-Nov
BG5.0.6,50,15-Nov
BG5.8.1,42,15-Nov
BG5.8.2,43,15-Nov
BG5.8.3,48,15-Nov
BG5.8.4,43,15-Nov
BG5.8.5,44,15-Nov
BG5.8.6,49,15-Nov
BG5.16.1,,15-Nov
BG5.16.2,35,15-Nov
BG5.16.3,42,15-Nov
BG5.16.4,48,15-Nov
BG5.16.5,45,15-Nov
BG5.16.6,50,15-Nov
BG5.24.1,24,15-Nov
BG5.24.2,30,15-Nov
BG5.24.3,40,15-Nov
BG5.24.4,21,15-Nov
BG5.24.5,45,15-Nov
BG5.24.6,,15-Nov
BG6.0.1,40,15-Nov
BG6.0.2,49,15-Nov
BG6.0.3,43,15-Nov
BG6.0.4,55,15-Nov
BG6.0.5,43,15-Nov
BG6.0.6,52,15-Nov
BG6.8.1,36,15-Nov
BG6.8.2,35,15-Nov
BG6.8.3,48,15-Nov
BG6.8.4,48,15-Nov
BG6.8.5,48,15-Nov
BG6.8.6,41,15-Nov
BG6.16.1,35,15-Nov
BG6.16.2,27,15-Nov
BG6.16.3,14,15-Nov
BG6.16.4,46,15-Nov
BG6.16.5,18,15-Nov
BG6.16.6,49,15-Nov
BG6.24.1,46,15-Nov
BG6.24.2,,15-Nov
BG6.24.3,,15-Nov
BG6.24.4,,15-Nov
BG6.24.5,20,15-Nov
BG6.24.6,19,15-Nov
SG1.0.1,15,15-Nov
SG1.0.2,16,15-Nov
SG1.0.3,34,15-Nov
SG1.0.4,23,15-Nov
SG1.0.5,32,15-Nov
SG1.0.6,25,15-Nov
SG1.8.1,24,15-Nov
SG1.8.2,16,15-Nov
SG1.8.3,29,15-Nov
SG1.8.4,33,15-Nov
SG1.8.5,46,15-Nov
SG1.8.6,9,15-Nov
SG1.16.1,44,15-Nov
SG1.16.2,26,15-Nov
SG1.16.3,25,15-Nov
SG1.16.4,60,15-Nov
SG1.16.5,20,15-Nov
SG1.16.6,11,15-Nov
SG1.24.1,36,15-Nov
SG1.24.2,38,15-Nov
SG1.24.3,25,15-Nov
SG1.24.4,13,15-Nov
SG1.24.5,52,15-Nov
SG1.24.6,33,15-Nov
SG2.0.1,37,15-Nov
SG2.0.2,23,15-Nov
SG2.0.3,17,15-Nov
SG2.0.4,11,15-Nov
SG2.0.5,30,15-Nov
SG2.0.6,41,15-Nov
SG2.8.1,28,15-Nov
SG2.8.2,23,15-Nov
SG2.8.3,22,15-Nov
SG2.8.4,11,15-Nov
SG2.8.5,19,15-Nov
SG2.8.6,34,15-Nov
SG2.16.1,28,15-Nov
SG2.16.2,50,15-Nov
SG2.16.3,32,15-Nov
SG2.16.4,31,15-Nov
SG2.16.5,21,15-Nov
SG2.16.6,36,15-Nov
SG2.24.1,22,15-Nov
SG2.24.2,21,15-Nov
SG2.24.3,19,15-Nov
SG2.24.4,43,15-Nov
SG2.24.5,21,15-Nov
SG2.24.6,35,15-Nov
SG3.0.1,22,15-Nov
SG3.0.2,19,15-Nov
SG3.0.3,58,15-Nov
SG3.0.4,47,15-Nov
SG3.0.5,17,15-Nov
SG3.0.6,43,15-Nov
SG3.8.1,14,15-Nov
SG3.8.2,51,15-Nov
SG3.8.3,27,15-Nov
SG3.8.4,46,15-Nov
SG3.8.5,45,15-Nov
SG3.8.6,27,15-Nov
SG3.16.1,21,15-Nov
SG3.16.2,10,15-Nov
SG3.16.3,28,15-Nov
SG3.16.4,26,15-Nov
SG3.16.5,13,15-Nov
SG3.16.6,16,15-Nov
SG3.24.1,25,15-Nov
SG3.24.2,29,15-Nov
SG3.24.3,29,15-Nov
SG3.24.4,22,15-Nov
SG3.24.5,26,15-Nov
SG3.24.6,34,15-Nov
SG4.0.1,24,15-Nov
SG4.0.2,31,15-Nov
SG4.0.3,40,15-Nov
SG4.0.4,32,15-Nov
SG4.0.5,48,15-Nov
SG4.0.6,25,15-Nov
SG4.8.1,40,15-Nov
SG4.8.2,32,15-Nov
SG4.8.3,49,15-Nov
SG4.8.4,8,15-Nov
SG4.8.5,40,15-Nov
SG4.8.6,26,15-Nov
SG4.16.1,18,15-Nov
SG4.16.2,16,15-Nov
SG4.16.3,27,15-Nov
SG4.16.4,7,15-Nov
SG4.16.5,112,15-Nov
SG4.16.6,14,15-Nov
SG4.24.1,,15-Nov
SG4.24.2,10,15-Nov
SG4.24.3,24,15-Nov
SG4.24.4,40,15-Nov
SG4.24.5,14,15-Nov
SG4.24.6,23,15-Nov
SG5.0.1,19,15-Nov
SG5.0.2,32,15-Nov
SG5.0.3,38,15-Nov
SG5.0.4,64,15-Nov
SG5.0.5,41,15-Nov
SG5.0.6,40,15-Nov
SG5.8.1,19,15-Nov
SG5.8.2,,15-Nov
SG5.8.3,32,15-Nov
SG5.8.4,49,15-Nov
SG5.8.5,36,15-Nov
SG5.8.6,34,15-Nov
SG5.16.1,18,15-Nov
SG5.16.2,13,15-Nov
SG5.16.3,34,15-Nov
SG5.16.4,14,15-Nov
SG5.16.5,11,15-Nov
SG5.16.6,19,15-Nov
SG5.24.1,13,15-Nov
SG5.24.2,12,15-Nov
SG5.24.3,25,15-Nov
SG5.24.4,10,15-Nov
SG5.24.5,21,15-Nov
SG5.24.6,,15-Nov
SG6.0.1,22,15-Nov
SG6.0.2,22,15-Nov
SG6.0.3,20,15-Nov
SG6.0.4,26,15-Nov
SG6.0.5,23,15-Nov
SG6.0.6,26,15-Nov
SG6.8.1,16,15-Nov
SG6.8.2,36,15-Nov
SG6.8.3,32,15-Nov
SG6.8.4,25,15-Nov
SG6.8.5,50,15-Nov
SG6.8.6,48,15-Nov
SG6.16.1,41,15-Nov
SG6.16.2,20,15-Nov
SG6.16.3,12,15-Nov
SG6.16.4,17,15-Nov
SG6.16.5,33,15-Nov
SG6.16.6,50,15-Nov
SG6.24.1,16,15-Nov
SG6.24.2,18,15-Nov
SG6.24.3,48,15-Nov
SG6.24.4,32,15-Nov
SG6.24.5,27,15-Nov
SG6.24.6,,15-Nov
BM1.0.1,34,18-Nov
BG1.0.2,21,18-Nov
BM1.0.3,59,18-Nov
BM1.0.4,60,18-Nov
BM1.0.5,58,18-Nov
BM1.0.6,56,18-Nov
BM1.8.1,44,18-Nov
BM1.8.2,40,18-Nov
BM1.8.3,52,18-Nov
BM1.8.4,41,18-Nov
BM1.8.5,43,18-Nov
BM1.8.6,31,18-Nov
BM1.16.1,33,18-Nov
BM1.16.2,43,18-Nov
BM1.16.3,34,18-Nov
BM1.16.4,33,18-Nov
BM1.16.5,71,18-Nov
BM1.16.6,30,18-Nov
BM1.24.1,42,18-Nov
BM1.24.2,45,18-Nov
BM1.24.3,40,18-Nov
BM1.24.4,38,18-Nov
BM1.24.5,48,18-Nov
BM1.24.6,42,18-Nov
BM2.0.1,55,18-Nov
BM2.0.2,47,18-Nov
BM2.0.3,50,18-Nov
BM2.0.4,48,18-Nov
BM2.0.5,30,18-Nov
BM2.0.6,28,18-Nov
BM2.8.1,66,18-Nov
BM2.8.1,52,18-Nov
BM2.8.3,37,18-Nov
BM2.8.4,44,18-Nov
BM2.8.5,49,18-Nov
BM2.8.6,32,18-Nov
BM2.16.1,33,18-Nov
BM2.16.2,39,18-Nov
BM2.16.3,53,18-Nov
BM2.16.4,54,18-Nov
BM2.16.5,46,18-Nov
BM2.16.6,33,18-Nov
BM2.24.1,40,18-Nov
BM2.24.2,72,18-Nov
BM2.24.3,59,18-Nov
BM2.24.4,39,18-Nov
BM2.24.5,80,18-Nov
BM2.24.6,37,18-Nov
BM3.0.1,31,18-Nov
BM3.0.2,70,18-Nov
BM3.0.3,36,18-Nov
BM3.0.4,56,18-Nov
BM3.0.5,44,18-Nov
BM3.0.6,39,18-Nov
BM3.8.1,72,18-Nov
BM3.8.2,32,18-Nov
BM3.8.3,61,18-Nov
BM3.8.4,69,18-Nov
BM3.8.5,55,18-Nov
BM3.8.6,35,18-Nov
BM3.16.1,42,18-Nov
BM3.16.2,47,18-Nov
BM3.16.3,34,18-Nov
BM3.16.4,41,18-Nov
BM3.16.5,37,18-Nov
BM3.16.6,61,18-Nov
BM3.24.1,44,18-Nov
BM3.24.2,50,18-Nov
BM3.24.3,43,18-Nov
BM3.24.4,73,18-Nov
BM3.24.5,40,18-Nov
BM3.24.6,69,18-Nov
BM4.0.1,67,18-Nov
BM4.0.2,34,18-Nov
BM4.0.3,45,18-Nov
BM4.0.4,69,18-Nov
BM4.0.5,74,18-Nov
BM4.0.6,46,18-Nov
BM4.8.1,32,18-Nov
BM4.8.2,30,18-Nov
BM4.8.3,32,18-Nov
BM4.8.4,32,18-Nov
BM4.8.5,40,18-Nov
BM4.8.6,42,18-Nov
BM4.16.1,28,18-Nov
BM4.16.2,47,18-Nov
BM4.16.3,50,18-Nov
BM4.16.4,32,18-Nov
BM4.16.5,40,18-Nov
BM4.16.6,32,18-Nov
BM4.24.1,32,18-Nov
BM4.24.2,30,18-Nov
BM4.24.3,54,18-Nov
BM4.24.4,49,18-Nov
BM4.24.5,27,18-Nov
BM4.24.6,34,18-Nov
BM5.0.1,50,18-Nov
BM5.0.2,64,18-Nov
BM5.0.3,63,18-Nov
BM5.0.4,78,18-Nov
BM5.0.5,43,18-Nov
BM5.0.6,57,18-Nov
BM5.8.1,26,18-Nov
BM5.8.2,43,18-Nov
BM5.8.3,33,18-Nov
BM5.8.4,65,18-Nov
BM5.8.5,60,18-Nov
BM5.8.6,30,18-Nov
BM5.16.1,35,18-Nov
BM5.16.2,42,18-Nov
BM5.16.3,57,18-Nov
BM5.16.4,38,18-Nov
BM5.16.5,51,18-Nov
BM5.16.6,61,18-Nov
BM5.24.1,42,18-Nov
BM5.24.2,74,18-Nov
BM5.24.3,53,18-Nov
BM5.24.4,56,18-Nov
BM5.24.5,42,18-Nov
BM5.24.6,63,18-Nov
BM6.0.1,38,18-Nov
BM6.0.2,32,18-Nov
BM6.0.3,56,18-Nov
BM6.0.4,58,18-Nov
BM6.0.5,59,18-Nov
BM6.0.6,52,18-Nov
BM6.8.1,66,18-Nov
BM6.8.2,36,18-Nov
BM6.8.3,48,18-Nov
BM6.8.4,46,18-Nov
BM6.8.5,40,18-Nov
BM6.8.6,36,18-Nov
BM6.16.1,35,18-Nov
BM6.16.2,55,18-Nov
BM6.16.3,45,18-Nov
BM6.16.4,46,18-Nov
BM6.16.5,77,18-Nov
BM6.16.6,41,18-Nov
BM6.24.1,54,18-Nov
BM6.24.2,42,18-Nov
BM6.24.3,33,18-Nov
BM6.24.4,33,18-Nov
BM6.24.5,54,18-Nov
BM6.24.6,39,18-Nov
LB1.0.1,16,22-Nov
LB1.0.2,19,22-Nov
LB1.0.3,24,22-Nov
LB1.0.4,24,22-Nov
LB1.0.5,26,22-Nov
LB1.0.6,40,22-Nov
LB1.8.1,11,22-Nov
LB1.8.2,,22-Nov
LB1.8.3,5,22-Nov
LB1.8.4,6,22-Nov
LB1.8.5,8,22-Nov
LB1.8.6,7,22-Nov
LB1.16.1,7,22-Nov
LB1.16.2,13,22-Nov
LB1.16.3,9,22-Nov
LB1.16.4,17,22-Nov
LB1.16.5,11,22-Nov
LB1.16.6,13,22-Nov
LB1.24.1,8,22-Nov
LB1.24.2,13,22-Nov
LB1.24.3,9,22-Nov
LB1.24.4,5,22-Nov
BL1.24.5,9,22-Nov
LB1.24.6,10,22-Nov
LB2.0.1,5,22-Nov
LB2.0.2,7,22-Nov
LB2.0.3,9,22-Nov
LB2.0.4,6,22-Nov
LB2.0.5,4,22-Nov
