SPECIES,QUADRANT,TREATMENT (DS/M),HEIGHT (CM),TIME (DAY OF MONTH)
LB1.0.1.1025,1,0,8,25-Oct
LB1.0.2.1025,1,0,21,25-Oct
LB1.0.3.1025,1,0,10,25-Oct
LB1.0.4.1025,1,0,9,25-Oct
LB1.0.5.1025,1,0,19,25-Oct
LB1.0.6.1025,1,0,11,25-Oct
LB1.8.1.1025,1,8,8,25-Oct
LB1.8.2.1025,1,8,3,25-Oct
LB1.8.3.1025,1,8,5,25-Oct
LB1.8.4.1025,1,8,6,25-Oct
LB1.8.5.1025,1,8,8,25-Oct
LB1.8.6.1025,1,8,7,25-Oct
LB1.16.1.1025,1,16,8,25-Oct
LB1.16.2.1025,1,16,7,25-Oct
LB1.16.3.1025,1,16,9,25-Oct
LB1.16.4.1025,1,16,8,25-Oct
LB1.16.5.1025,1,16,8,25-Oct
LB1.16.6.1025,1,16,7,25-Oct
LB1.24.1.1025,1,24,8,25-Oct
LB1.24.2.1025,1,24,7,25-Oct
LB1.24.3.1025,1,24,8,25-Oct
LB1.24.4.1025,1,24,4,25-Oct
BL1.24.5.1025,1,24,9,25-Oct
LB1.24.6.1025,1,24,9,25-Oct
LB2.0.1.1025,2,0,5,25-Oct
LB2.0.2.1025,2,0,6,25-Oct
LB2.0.3.1025,2,0,7,25-Oct
LB2.0.4.1025,2,0,6,25-Oct
LB2.0.5.1025,2,0,4,25-Oct
LB2.0.6.1025,2,0,6,25-Oct
LB2.8.1.1025,2,8,8,25-Oct
LB2.8.2.1025,2,8,12,25-Oct
LB2.8.3.1025,2,8,4,25-Oct
LB2.8.4.1025,2,8,8,25-Oct
LB2.8.4.1025,2,8,7,25-Oct
LB2.8.6.1025,2,8,7,25-Oct
LB2.16.1.1025,2,16,5,25-Oct
LB2.16.2.1025,2,16,17,25-Oct
LB2.16.3.1025,2,16,8,25-Oct
LB2.16.4.1025,2,16,5,25-Oct
LB2.16.5.1025,2,16,5,25-Oct
LB2.16.6.1025,2,16,6,25-Oct
LB2.24.1.1025,2,24,5,25-Oct
LB2.24.2.1025,2,24,7,25-Oct
LB2.24.3.1025,2,24,4,25-Oct
LB2.24.4.1025,2,24,6,25-Oct
LB2.24.5.1025,2,24,2,25-Oct
LB2.24.6.1025,2,24,6,25-Oct
LB3.0.1.1025,3,0,7,25-Oct
LB3.0.2.1025,3,0,9,25-Oct
LB3.0.3.1025,3,0,7,25-Oct
LB3.0.4.1025,3,0,6,25-Oct
LB3.0.5.1025,3,0,6,25-Oct
LB3.0.6.1025,3,0,6,25-Oct
LB3.8.1.1025,3,8,8,25-Oct
LB3.8.2.1025,3,8,9,25-Oct
LB3.8.3.1025,3,8,7,25-Oct
LB3.8.4.1025,3,8,6,25-Oct
LB3.8.5.1025,3,8,7,25-Oct
LB3.8.6.1025,3,8,7,25-Oct
LB3.16.1.1025,3,16,7,25-Oct
LB3.16.2.1025,3,16,5,25-Oct
LB3.16.3.1025,3,16,4,25-Oct
LB3.16.4.1025,3,16,6,25-Oct
LB3.16.5.1025,3,16,6,25-Oct
LB3.16.6.1025,3,16,4,25-Oct
LB3.24.1.1025,3,24,19,25-Oct
LB3.24.2.1025,3,24,13,25-Oct
LB3.24.3.1025,3,24,6,25-Oct
LB3.24.4.1025,3,24,6,25-Oct
LB3.24.5.1025,3,24,6,25-Oct
LB3.24.6.1025,3,24,13,25-Oct
LB4.0.1.1025,4,0,6,25-Oct
LB4.0.2.1025,4,0,3,25-Oct
LB4.0.3.1025,4,0,7,25-Oct
LB4.0.4.1025,4,0,20,25-Oct
LB4.0.5.1025,4,0,6,25-Oct
LB4.0.6.1025,4,0,6,25-Oct
LB4.8.1.1025,4,8,6,25-Oct
LB4.8.2.1025,4,8,8,25-Oct
LB4.8.3.1025,4,8,12,25-Oct
LB4.8.4.1025,4,8,17,25-Oct
LB4.8.5.1025,4,8,8,25-Oct
LB4.8.6.1025,4,8,6,25-Oct
LB4.16.1.1025,4,16,3,25-Oct
LB4.16.2.1025,4,16,X,25-Oct
LB4.16.3.1025,4,16,6,25-Oct
LB4.16.4.1025,4,16,6,25-Oct
LB4.16.5.1025,4,16,5,25-Oct
LB4.16.6.1025,4,16,5,25-Oct
LB4.24.1.1025,4,24,9,25-Oct
LB4.24.2.1025,4,24,12,25-Oct
LB4.24.3.1025,4,24,10,25-Oct
LB4.24.4.1025,4,24,8,25-Oct
LB4.24.5.1025,4,24,14,25-Oct
LB4.24.6.1025,4,24,X,25-Oct
LB5.0.1.1025,5,0,6,25-Oct
LB5.0.2.1025,5,0,7,25-Oct
LB5.0.3.1025,5,0,7,25-Oct
LB5.0.4.1025,5,0,7,25-Oct
LB5.0.5.1025,5,0,6,25-Oct
LB5.0.6.1025,5,0,6,25-Oct
LB5.8.1.1025,5,8,9,25-Oct
LB5.8.2.1025,5,8,6,25-Oct
LB5.8.3.1025,5,8,6,25-Oct
LB5.8.4.1025,5,8,6,25-Oct
LB5.8.5.1025,5,8,6,25-Oct
LB5.8.6.1025,5,8,6,25-Oct
LB5.16.1.1025,5,16,5,25-Oct
LB5.16.2.1025,5,16,6,25-Oct
LB5.16.3.1025,5,16,5,25-Oct
LB5.16.4.1025,5,16,3,25-Oct
LB5.16.5.1025,5,16,6,25-Oct
LB5.16.6.1025,5,16,7,25-Oct
LB5.24.1.1025,5,24,5,25-Oct
LB5.24.2.1025,5,24,6,25-Oct
LB5.24.3.1025,5,24,9,25-Oct
LB5.24.4.1025,5,24,8,25-Oct
LB5.24.5.1025,5,24,8,25-Oct
LB5.24.6.1025,5,24,20,25-Oct
LB6.0.1.1025,6,0,7,25-Oct
LB6.0.2.1025,6,0,6,25-Oct
LB6.0.3.1025,6,0,7,25-Oct
LB6.0.4.1025,6,0,6,25-Oct
LB6.0.5.1025,6,0,5,25-Oct
LB6.0.6.1025,6,0,5,25-Oct
LB6.8.1.1025,6,8,22,25-Oct
LB6.8.2.1025,6,8,7,25-Oct
LB6.8.3.1025,6,8,10,25-Oct
LB6.8.4.1025,6,8,8,25-Oct
LB6.8.5.1025,6,8,7,25-Oct
LB6.8.6.1025,6,8,6,25-Oct
LB6.16.1.1025,6,16,7,25-Oct
LB6.16.2.1025,6,16,7,25-Oct
LB6.16.3.1025,6,16,7,25-Oct
LB6.16.4.1025,6,16,6,25-Oct
LB6.16.5.1025,6,16,10,25-Oct
LB6.16.6.1025,6,16,4,25-Oct
LB6.24.1.1025,6,24,8,25-Oct
LB6.24.2.1025,6,24,6,25-Oct
LB6.24.3.1025,6,24,5,25-Oct
LB6.24.4.1025,6,24,2,25-Oct
LB6.24.5.1025,6,24,7,25-Oct
LB6.24.6.1025,6,24,9,25-Oct
,,,,
BG1.0.1.1025,1,0,40,25-Oct
BG1.0.2.1025,1,0,30,25-Oct
BG1.0.3.1025,1,0,31,25-Oct
BG1.0.4.1025,1,0,26,25-Oct
BG1.0.5..1025,1,0,22,25-Oct
BG1.0.6.1025,1,0,30,25-Oct
BG1.8.1.1025,1,8,28,25-Oct
BG1.8.2.1025,1,8,32,25-Oct
BG1.8.3.1025,1,8,24,25-Oct
BG1.8.4.1025,1,8,34,25-Oct
BG1.8.5.1025,1,8,37,25-Oct
BG1.8.6.1025,1,8,27,25-Oct
BG1.16.1.1025,1,16,22,25-Oct
BG1.16.2.1025,1,16,16,25-Oct
BG1.16.3.1025,1,16,28,25-Oct
BG1.16.4.1025,1,16,30,25-Oct
BG1.16.5.1025,1,16,35,25-Oct
BG1.16.6.1025,1,16,X,25-Oct
BG1.24.1.1025,1,24,10,25-Oct
BG1.24.2.1025,1,24,25,25-Oct
BG1.24.3.1025,1,24,10,25-Oct
BG1.24.4.1025,1,24,14,25-Oct
BG1.24.5.1025,1,24,32,25-Oct
BG1.24.6.1025,1,24,20,25-Oct
BG2.0.1.1025,2,0,25,25-Oct
BG2.0.2.1025,2,0,26,25-Oct
BG2.0.3.1025,2,0,33,25-Oct
BG2.0.4.1025,2,0,30,25-Oct
BG2.0.5.1025,2,0,33,25-Oct
BG2.0.6.1025,2,0,25,25-Oct
BG2.8.1.1025,2,8,36,25-Oct
BG2.8.2.1025,2,8,29,25-Oct
BG2.8.3.1025,2,8,28,25-Oct
BG2.8.4.1025,2,8,28,25-Oct
BG2.8.5.1025,2,8,30,25-Oct
BG2.8.6.1025,2,8,25,25-Oct
BG2.16.1.1025,2,16,20,25-Oct
BG2.16.2.1025,2,16,31,25-Oct
BG2.16.3.1025,2,16,18,25-Oct
BG2.16.4.1025,2,16,17,25-Oct
BG2.16.5.1025,2,16,21,25-Oct
BG2.16.6.1025,2,16,32,25-Oct
BG2.24.1.1025,2,24,17,25-Oct
BG2.24.2.1025,2,24,24,25-Oct
BG2.24.3.1025,2,24,23,25-Oct
BG2.24.4.1025,2,24,23,25-Oct
BG2.24.5.1025,2,24,15,25-Oct
BG2.24.6.1025,2,24,5,25-Oct
BG3.0.1.1025,3,0,12,25-Oct
BG3.0.2.1025,3,0,21,25-Oct
BG3.0.3.1025,3,0,12,25-Oct
BG3.0.4.1025,3,0,23,25-Oct
BG3.0.5.1025,3,0,15,25-Oct
BG3.0.6.1025,3,0,17,25-Oct
BG3.8.1.1025,3,8,28,25-Oct
BG3.8.2.1025,3,8,15,25-Oct
BG3.8.3.1025,3,8,15,25-Oct
BG3.8.4.1025,3,8,28,25-Oct
BG3.8.5.1025,3,8,28,25-Oct
BG3.8.6.1025,3,8,19,25-Oct
BG3.16.1.1025,3,16,35,25-Oct
BG3.16.2.1025,3,16,27,25-Oct
BG3.16.3.1025,3,16,13,25-Oct
BG3.16.4.1025,3,16,18,25-Oct
BG3.16.5.1025,3,16,23,25-Oct
BG3.16.6.1025,3,16,20,25-Oct
BG3.24.1.1025,3,24,15,25-Oct
BG3.24.2.1025,3,24,X,25-Oct
BG3.24.3.1025,3,24,23,25-Oct
BG3.24.4.1025,3,24,26,25-Oct
BG3.24.5.1025,3,24,14,25-Oct
BG3.24.6.1025,3,24,X,25-Oct
BG4.0.1.1025,4,0,12,25-Oct
BG4.0.2.1025,4,0,28,25-Oct
BG4.0.3.1025,4,0,33,25-Oct
BG4.0.4.1025,4,0,27,25-Oct
BG4.0.5.1025,4,0,28,25-Oct
BG4.0.6.1025,4,0,34,25-Oct
BG4.8.1.1025,4,8,13,25-Oct
BG4.8.2.1025,4,8,22,25-Oct
BG4.8.3.1025,4,8,34,25-Oct
BG4.8.4.1025,4,8,19,25-Oct
BG4.8.5.1025,4,8,26,25-Oct
BG4.8.6.1025,4,8,17,25-Oct
BG4.16.1.1025,4,16,8,25-Oct
BG4.16.2.1025,4,16,9,25-Oct
BG4.16.3.1025,4,16,8,25-Oct
BG4.16.4.1025,4,16,18,25-Oct
BG4.16.5.1025,4,16,21,25-Oct
BG4.16.6.1025,4,16,13,25-Oct
BG4.24.1.1025,4,24,7,25-Oct
BG4.24.2.1025,4,24,9,25-Oct
BG4.24.3.1025,4,24,14,25-Oct
BG4.24.4.1025,4,24,22,25-Oct
BG4.24.5.1025,4,24,10,25-Oct
BG4.24.6.1025,4,24,X,25-Oct
BG5.0.1.1025,5,0,42,25-Oct
BG5.0.2.1025,5,0,29,25-Oct
BG5.0.3.1025,5,0,37,25-Oct
BG5.0.4.1025,5,0,35,25-Oct
BG5.0.5.1025,5,0,36,25-Oct
BG5.0.6.1025,5,0,29,25-Oct
BG5.8.1.1025,5,8,22,25-Oct
BG5.8.2.1025,5,8,27,25-Oct
BG5.8.3.1025,5,8,24,25-Oct
BG5.8.4.1025,5,8,25,25-Oct
BG5.8.5.1025,5,8,22,25-Oct
BG5.8.6.1025,5,8,23,25-Oct
BG5.16.1.1025,5,16,6,25-Oct
BG5.16.2.1025,5,16,25,25-Oct
BG5.16.3.1025,5,16,28,25-Oct
BG5.16.4.1025,5,16,29,25-Oct
BG5.16.5.1025,5,16,35,25-Oct
BG5.16.6.1025,5,16,21,25-Oct
BG5.24.1.1025,5,24,12,25-Oct
BG5.24.2.1025,5,24,11,25-Oct
BG5.24.3.1025,5,24,26,25-Oct
BG5.24.4.1025,5,24,10,25-Oct
BG5.24.5.1025,5,24,20,25-Oct
BG5.24.6.1025,5,24,14,25-Oct
BG6.0.1.1025,6,0,30,25-Oct
BG6.0.2.1025,6,0,23,25-Oct
BG6.0.3.1025,6,0,18,25-Oct
BG6.0.4.1025,6,0,37,25-Oct
BG6.0.5.1025,6,0,25,25-Oct
BG6.0.6.1025,6,0,29,25-Oct
BG6.8.1.1025,6,8,16,25-Oct
BG6.8.2.1025,6,8,17,25-Oct
BG6.8.3.1025,6,8,27,25-Oct
BG6.8.4.1025,6,8,20,25-Oct
BG6.8.5.1025,6,8,17,25-Oct
BG6.8.6.1025,6,8,23,25-Oct
BG6.16.1.1025,6,16,19,25-Oct
BG6.16.2.1025,6,16,30,25-Oct
BG6.16.3.1025,6,16,18,25-Oct
BG6.16.4.1025,6,16,9,25-Oct
BG6.16.5.1025,6,16,27,25-Oct
BG6.16.6.1025,6,16,13,25-Oct
BG6.24.1.1025,6,24,26,25-Oct
BG6.24.2.1025,6,24,12,25-Oct
BG6.24.3.1025,6,24,X,25-Oct
BG6.24.4.1025,6,24,7,25-Oct
BG6.24.5.1025,6,24,16,25-Oct
BG6.24.6.1025,6,24,13,25-Oct
,,,,
SG1.0.1.1025,1,0,15,25-Oct
SG1.0.2.1025,1,0,16,25-Oct
SG1.0.3.1025,1,0,29,25-Oct
SG1.0.4.1025,1,0,20,25-Oct
SG1.0.5.1025,1,0,32,25-Oct
SG1.0.6.1025,1,0,25,25-Oct
SG1.8.1.1025,1,8,29,25-Oct
SG1.8.2.1025,1,8,14,25-Oct
SG1.8.3.1025,1,8,21,25-Oct
SG1.8.4.1025,1,8,21,25-Oct
SG1.8.5.1025,1,8,36,25-Oct
SG1.8.6.1025,1,8,11,25-Oct
SG1.16.1.1025,1,16,39,25-Oct
SG1.16.2.1025,1,16,22,25-Oct
SG1.16.3.1025,1,16,22,25-Oct
SG1.16.4.1025,1,16,39,25-Oct
SG1.16.5.1025,1,16,20,25-Oct
SG1.16.6.1025,1,16,9,25-Oct
SG1.24.1.1025,1,24,26,25-Oct
SG1.24.2.1025,1,24,29,25-Oct
SG1.24.3.1025,1,24,26,25-Oct
SG1.24.4.1025,1,24,13,25-Oct
SG1.24.5.1025,1,24,36,25-Oct
SG1.24.6.1025,1,24,31,25-Oct
SG2.0.1.1025,2,0,21,25-Oct
SG2.0.2.1025,2,0,23,25-Oct
SG2.0.3.1025,2,0,17,25-Oct
SG2.0.4.1025,2,0,12,25-Oct
SG2.0.5.1025,2,0,27,25-Oct
SG2.0.6.1025,2,0,29,25-Oct
SG2.8.1.1025,2,8,23,25-Oct
SG2.8.2.1025,2,8,25,25-Oct
SG2.8.3.1025,2,8,19,25-Oct
SG2.8.4.1025,2,8,10,25-Oct
SG2.8.5.1025,2,8,19,25-Oct
SG2.8.6.1025,2,8,29,25-Oct
SG2.16.1.1025,2,16,25,25-Oct
SG2.16.2.1025,2,16,30,25-Oct
SG2.16.3.1025,2,16,32,25-Oct
SG2.16.4.1025,2,16,31,25-Oct
SG2.16.5.1025,2,16,22,25-Oct
SG2.16.6.1025,2,16,28,25-Oct
SG2.24.1.1025,2,24,22,25-Oct
SG2.24.2.1025,2,24,21,25-Oct
SG2.24.3.1025,2,24,19,25-Oct
SG2.24.4.1025,2,24,31,25-Oct
SG2.24.5.1025,2,24,17,25-Oct
SG2.24.6.1025,2,24,35,25-Oct
SG3.0.1.1025,3,0,21,25-Oct
SG3.0.2.1025,3,0,18,25-Oct
SG3.0.3.1025,3,0,32,25-Oct
SG3.0.4.1025,3,0,32,25-Oct
SG3.0.5.1025,3,0,16,25-Oct
SG3.0.6.1025,3,0,27,25-Oct
SG3.8.1.1025,3,8,17,25-Oct
SG3.8.2.1025,3,8,29,25-Oct
SG3.8.3.1025,3,8,27,25-Oct
SG3.8.4.1025,3,8,28,25-Oct
SG3.8.5.1025,3,8,25,25-Oct
SG3.8.6.1025,3,8,28,25-Oct
SG3.16.1.1025,3,16,18,25-Oct
SG3.16.2.1025,3,16,10,25-Oct
SG3.16.3.1025,3,16,20,25-Oct
SG3.16.4.1025,3,16,21,25-Oct
SG3.16.5.1025,3,16,14,25-Oct
SG3.16.6.1025,3,16,18,25-Oct
SG3.24.1.1025,3,24,24,25-Oct
SG3.24.2.1025,3,24,25,25-Oct
SG3.24.3.1025,3,24,28,25-Oct
SG3.24.4.1025,3,24,29,25-Oct
SG3.24.5.1025,3,24,23,25-Oct
SG3.24.6.1025,3,24,25,25-Oct
SG4.0.1.1025,4,0,23,25-Oct
SG4.0.2.1025,4,0,13,25-Oct
SG4.0.3.1025,4,0,31,25-Oct
SG4.0.4.1025,4,0,28,25-Oct
SG4.0.5.1025,4,0,24,25-Oct
SG4.0.6.1025,4,0,24,25-Oct
SG4.8.1.1025,4,8,30,25-Oct
SG4.8.2.1025,4,8,31,25-Oct
SG4.8.3.1025,4,8,27,25-Oct
SG4.8.4.1025,4,8,10,25-Oct
SG4.8.5.1025,4,8,36,25-Oct
SG4.8.6.1025,4,8,24,25-Oct
SG4.16.1.1025,4,16,17,25-Oct
SG4.16.2.1025,4,16,16,25-Oct
SG4.16.3.1025,4,16,25,25-Oct
SG4.16.4.1025,4,16,12,25-Oct
SG4.16.5.1025,4,16,10,25-Oct
SG4.16.6.1025,4,16,9,25-Oct
SG4.24.1.1025,4,24,16,25-Oct
SG4.24.2.1025,4,24,10,25-Oct
SG4.24.3.1025,4,24,17,25-Oct
SG4.24.4.1025,4,24,31,25-Oct
SG4.24.5.1025,4,24,X,25-Oct
SG4.24.6.1025,4,24,X,25-Oct
SG5.0.1.1025,5,0,15,25-Oct
SG5.0.2.1025,5,0,27,25-Oct
SG5.0.3.1025,5,0,22,25-Oct
SG5.0.4.1025,5,0,32,25-Oct
SG5.0.5.1025,5,0,29,25-Oct
SG5.0.6.1025,5,0,25,25-Oct
SG5.8.1.1025,5,8,19,25-Oct
SG5.8.2.1025,5,8,X,25-Oct
SG5.8.3.1025,5,8,30,25-Oct
SG5.8.4.1025,5,8,37,25-Oct
SG5.8.5.1025,5,8,33,25-Oct
SG5.8.6.1025,5,8,34,25-Oct
SG5.16.1.1025,5,16,17,25-Oct
SG5.16.2.1025,5,16,13,25-Oct
SG5.16.3.1025,5,16,18,25-Oct
SG5.16.4.1025,5,16,11,25-Oct
SG5.16.5.1025,5,16,14,25-Oct
SG5.16.6.1025,5,16,17,25-Oct
SG5.24.1.1025,5,24,18,25-Oct
SG5.24.2.1025,5,24,12,25-Oct
SG5.24.3.1025,5,24,25,25-Oct
SG5.24.4.1025,5,24,12,25-Oct
SG5.24.5.1025,5,24,13,25-Oct
SG5.24.6.1025,5,24,11,25-Oct
SG6.0.1.1025,6,0,22,25-Oct
SG6.0.2.1025,6,0,22,25-Oct
SG6.0.3.1025,6,0,20,25-Oct
SG6.0.4.1025,6,0,24,25-Oct
SG6.0.5.1025,6,0,23,25-Oct
SG6.0.6.1025,6,0,20,25-Oct
SG6.8.1.1025,6,8,17,25-Oct
SG6.8.2.1025,6,8,31,25-Oct
SG6.8.3.1025,6,8,27,25-Oct
SG6.8.4.1025,6,8,25,25-Oct
SG6.8.5.1025,6,8,44,25-Oct
SG6.8.6.1025,6,8,29,25-Oct
SG6.16.1.1025,6,16,28,25-Oct
SG6.16.2.1025,6,16,17,25-Oct
SG6.16.3.1025,6,16,11,25-Oct
SG6.16.4.1025,6,16,17,25-Oct
SG6.16.5.1025,6,16,27,25-Oct
SG6.16.6.1025,6,16,32,25-Oct
SG6.24.1.1025,6,24,16,25-Oct
SG6.24.2.1025,6,24,18,25-Oct
SG6.24.3.1025,6,24,39,25-Oct
SG6.24.4.1025,6,24,31,25-Oct
SG6.24.5.1025,6,24,22,25-Oct
SG6.24.6.1025,6,24,5,25-Oct
,,,,
BM1.0.1.1028,1,0,14,28-Oct
BG1.0.2.1028,1,0,10,28-Oct
BM1.0.3.1028,1,0,26,28-Oct
BM1.0.4.1028,1,0,11,28-Oct
BM1.0.5.1028,1,0,22,28-Oct
BM1.0.6.1028,1,0,15,28-Oct
BM1.8.1.1028,1,8,12,28-Oct
BM1.8.2.1028,1,8,11,28-Oct
BM1.8.3.1028,1,8,16,28-Oct
BM1.8.4.1028,1,8,16,28-Oct
BM1.8.5.1028,1,8,17,28-Oct
BM1.8.6.1028,1,8,10,28-Oct
BM1.16.1.1028,1,16,11,28-Oct
BM1.16.2.1028,1,16,14,28-Oct
BM1.16.3.1028,1,16,15,28-Oct
BM1.16.4.1028,1,16,14,28-Oct
BM1.16.5.1028,1,16,10,28-Oct
BM1.16.6.1028,1,16,18,28-Oct
BM1.24.1.1028,1,24,18,28-Oct
BM1.24.2.1028,1,24,18,28-Oct
BM1.24.3.1028,1,24,13,28-Oct
BM1.24.4.1028,1,24,19,28-Oct
BM1.24.5.1028,1,24,21,28-Oct
BM1.24.6.1028,1,24,18,28-Oct
BM2.0.1.1028,2,0,31,28-Oct
BM2.0.2.1028,2,0,31,28-Oct
BM2.0.3.1028,2,0,34,28-Oct
BM2.0.4.1028,2,0,25,28-Oct
BM2.0.5.1028,2,0,12,28-Oct
BM2.0.6.1028,2,0,12,28-Oct
BM2.8.1.1028,2,8,26,28-Oct
BM2.8.2.1028,2,8,25,28-Oct
BM2.8.3.1028,2,8,27,28-Oct
BM2.8.4.1028,2,8,28,28-Oct
BM2.8.5.1028,2,8,29,28-Oct
BM2.8.6.1028,2,8,19,28-Oct
BM2.16.1.1028,2,16,19,28-Oct
BM2.16.2.1028,2,16,20,28-Oct
BM2.16.3.1028,2,16,38,28-Oct
BM2.16.4.1028,2,16,18,28-Oct
BM2.16.5.1028,2,16,24,28-Oct
BM2.16.6.1028,2,16,30,28-Oct
BM2.24.1.1028,2,24,22,28-Oct
BM2.24.2.1028,2,24,26,28-Oct
BM2.24.3.1028,2,24,19,28-Oct
BM2.24.4.1028,2,24,27,28-Oct
BM2.24.5.1028,2,24,31,28-Oct
BM2.24.6.1028,2,24,20,28-Oct
BM3.0.1.1028,3,0,11,28-Oct
BM3.0.2.1028,3,0,24,28-Oct
BM3.0.3.1028,3,0,23,28-Oct
BM3.0.4.1028,3,0,26,28-Oct
BM3.0.5.1028,3,0,18,28-Oct
BM3.0.6.1028,3,0,17,28-Oct
BM3.8.1.1028,3,8,31,28-Oct
