SPECIES,QUADRANT,TREATMENT (DS/M),HEIGHT (CM),TIME (DAY OF MONTH)
BM3.8.2.1028,3,8,14,28-Oct
BM3.8.3.1028,3,8,22,28-Oct
BM3.8.4.1028,3,8,26,28-Oct
BM3.8.5.1028,3,8,29,28-Oct
BM3.8.6.1028,3,8,20,28-Oct
BM3.16.1.1028,3,16,18,28-Oct
BM3.16.2.1028,3,16,24,28-Oct
BM3.16.3.1028,3,16,18,28-Oct
BM3.16.4.1028,3,16,24,28-Oct
BM3.16.5.1028,3,16,19,28-Oct
BM3.16.6.1028,3,16,28,28-Oct
BM3.24.1.1028,3,24,20,28-Oct
BM3.24.2.1028,3,24,22,28-Oct
BM3.24.3.1028,3,24,18,28-Oct
BM3.24.4.1028,3,24,26,28-Oct
BM3.24.5.1028,3,24,25,28-Oct
BM3.24.6.1028,3,24,28,28-Oct
BM4.0.1.1028,4,0,24,28-Oct
BM4.0.2.1028,4,0,18,28-Oct
BM4.0.3.1028,4,0,24,28-Oct
BM4.0.4.1028,4,0,22,28-Oct
BM4.0.5.1028,4,0,27,28-Oct
BM4.0.6.1028,4,0,20,28-Oct
BM4.8.1.1028,4,8,16,28-Oct
BM4.8.2.1028,4,8,18,28-Oct
BM4.8.3.1028,4,8,15,28-Oct
BM4.8.4.1028,4,8,22,28-Oct
BM4.8.5.1028,4,8,21,28-Oct
BM4.8.6.1028,4,8,23,28-Oct
BM4.16.1.1028,4,16,15,28-Oct
BM4.16.2.1028,4,16,34,28-Oct
BM4.16.3.1028,4,16,35,28-Oct
BM4.16.4.1028,4,16,20,28-Oct
BM4.16.5.1028,4,16,21,28-Oct
BM4.16.6.1028,4,16,19,28-Oct
BM4.24.1.1028,4,24,15,28-Oct
BM4.24.2.1028,4,24,16,28-Oct
BM4.24.3.1028,4,24,43,28-Oct
BM4.24.4.1028,4,24,19,28-Oct
BM4.24.5.1028,4,24,12,28-Oct
BM4.24.6.1028,4,24,9,28-Oct
BM5.0.1.1028,5,0,22,28-Oct
BM5.0.2.1028,5,0,30,28-Oct
BM5.0.3.1028,5,0,36,28-Oct
BM5.0.4.1028,5,0,29,28-Oct
BM5.0.5.1028,5,0,26,28-Oct
BM5.0.6.1028,5,0,23,28-Oct
BM5.8.1.1028,5,8,18,28-Oct
BM5.8.2.1028,5,8,29,28-Oct
BM5.8.3.1028,5,8,27,28-Oct
BM5.8.4.1028,5,8,47,28-Oct
BM5.8.5.1028,5,8,26,28-Oct
BM5.8.6.1028,5,8,22,28-Oct
BM5.16.1.1028,5,16,20,28-Oct
BM5.16.2.1028,5,16,23,28-Oct
BM5.16.3.1028,5,16,27,28-Oct
BM5.16.4.1028,5,16,25,28-Oct
BM5.16.5.1028,5,16,21,28-Oct
BM5.16.6.1028,5,16,27,28-Oct
BM5.24.1.1028,5,24,21,28-Oct
BM5.24.2.1028,5,24,29,28-Oct
BM5.24.3.1028,5,24,38,28-Oct
BM5.24.4.1028,5,24,29,28-Oct
BM5.24.5.1028,5,24,24,28-Oct
BM5.24.6.1028,5,24,26,28-Oct
BM6.0.1.1028,6,0,23,28-Oct
BM6.0.2.1028,6,0,21,28-Oct
BM6.0.3.1028,6,0,27,28-Oct
BM6.0.4.1028,6,0,30,28-Oct
BM6.0.5.1028,6,0,34,28-Oct
BM6.0.6.1028,6,0,39,28-Oct
BM6.8.1.1028,6,8,32,28-Oct
BM6.8.2.1028,6,8,18,28-Oct
BM6.8.3.1028,6,8,24,28-Oct
BM6.8.4.1028,6,8,16,28-Oct
BM6.8.5.1028,6,8,23,28-Oct
BM6.8.6.1028,6,8,16,28-Oct
BM6.16.1.1028,6,16,18,28-Oct
BM6.16.2.1028,6,16,19,28-Oct
BM6.16.3.1028,6,16,16,28-Oct
BM6.16.4.1028,6,16,19,28-Oct
BM6.16.5.1028,6,16,25,28-Oct
BM6.16.6.1028,6,16,17,28-Oct
BM6.24.1.1028,6,24,27,28-Oct
BM6.24.2.1028,6,24,22,28-Oct
BM6.24.3.1028,6,24,10,28-Oct
BM6.24.4.1028,6,24,16,28-Oct
BM6.24.5.1028,6,24,21,28-Oct
BM6.24.6.1028,6,24,20,28-Oct
,,,,
,,,,
LB1.0.1.1018,1,0,7,18-Oct
LB1.0.2.1018,1,0,9,18-Oct
LB1.0.3.1018,1,0,8,18-Oct
LB1.0.4.1018,1,0,17,18-Oct
LB1.0.5.1018,1,0,18,18-Oct
LB1.0.6.1018,1,0,10,18-Oct
LB1.8.1.1018,1,8,7,18-Oct
LB1.8.2.1018,1,8,4,18-Oct
LB1.8.3.1018,1,8,4,18-Oct
LB1.8.4.1018,1,8,6,18-Oct
LB1.8.5.1018,1,8,7,18-Oct
LB1.8.6.1018,1,8,5,18-Oct
LB1.16.1.1018,1,16,7,18-Oct
LB1.16.2.1018,1,16,5,18-Oct
LB1.16.3.1018,1,16,9,18-Oct
LB1.16.4.1018,1,16,7,18-Oct
LB1.16.5.1018,1,16,7,18-Oct
LB1.16.6.1018,1,16,7,18-Oct
LB1.24.1.1018,1,24,8,18-Oct
LB1.24.2.1018,1,24,8,18-Oct
LB1.24.3.1018,1,24,5,18-Oct
LB1.24.4.1018,1,24,8,18-Oct
BL1.24.5.1018,1,24,4,18-Oct
LB1.24.6.1018,1,24,9,18-Oct
LB2.0.1.1018,2,0,5,18-Oct
LB2.0.2.1018,2,0,5,18-Oct
LB2.0.3.1018,2,0,6,18-Oct
LB2.0.4.1018,2,0,5,18-Oct
LB2.0.5.1018,2,0,4,18-Oct
LB2.0.6.1018,2,0,6,18-Oct
LB2.8.1.1018,2,8,8,18-Oct
LB2.8.2.1018,2,8,11,18-Oct
LB2.8.3.1018,2,8,4,18-Oct
LB2.8.4.1018,2,8,7,18-Oct
LB2.8.5.1018,2,8,6,18-Oct
LB2.8.6.1018,2,8,6,18-Oct
LB2.16.1.1018,2,16,4,18-Oct
LB2.16.2.1018,2,16,16,18-Oct
LB2.16.3.1018,2,16,7,18-Oct
LB2.16.4.1018,2,16,5,18-Oct
LB2.16.5.1018,2,16,5,18-Oct
LB2.16.6.1018,2,16,7,18-Oct
LB2.24.1.1018,2,24,4,18-Oct
LB2.24.2.1018,2,24,7,18-Oct
LB2.24.3.1018,2,24,4,18-Oct
LB2.24.4.1018,2,24,6,18-Oct
LB2.24.5.1018,2,24,20,18-Oct
LB2.24.6.1018,2,24,6,18-Oct
LB3.0.1.1018,3,0,7,18-Oct
LB3.0.2.1018,3,0,8,18-Oct
LB3.0.3.1018,3,0,7,18-Oct
LB3.0.4.1018,3,0,6,18-Oct
LB3.0.5.1018,3,0,6,18-Oct
LB3.0.6.1018,3,0,5,18-Oct
LB3.8.1.1018,3,8,7,18-Oct
LB3.8.2.1018,3,8,7,18-Oct
LB3.8.3.1018,3,8,7,18-Oct
LB3.8.4.1018,3,8,7,18-Oct
LB3.8.5.1018,3,8,6,18-Oct
LB3.8.6.1018,3,8,7,18-Oct
LB3.16.1.1018,3,16,7,18-Oct
LB3.16.2.1018,3,16,6,18-Oct
LB3.16.3.1018,3,16,5,18-Oct
LB3.16.4.1018,3,16,7,18-Oct
LB3.16.5.1018,3,16,6,18-Oct
LB3.16.6.1018,3,16,5,18-Oct
LB3.24.1.1018,3,24,18,18-Oct
LB3.24.2.1018,3,24,13,18-Oct
LB3.24.3.1018,3,24,6,18-Oct
LB3.24.4.1018,3,24,6,18-Oct
LB3.24.5.1018,3,24,6,18-Oct
LB3.24.6.1018,3,24,13,18-Oct
LB4.0.1.1018,4,0,6,18-Oct
LB4.0.2.1018,4,0,3,18-Oct
LB4.0.3.1018,4,0,7,18-Oct
LB4.0.4.1018,4,0,20,18-Oct
LB4.0.5.1018,4,0,5,18-Oct
LB4.0.6.1018,4,0,6,18-Oct
LB4.8.1.1018,4,8,6,18-Oct
LB4.8.2.1018,4,8,8,18-Oct
LB4.8.3.1018,4,8,12,18-Oct
LB4.8.4.1018,4,8,16,18-Oct
LB4.8.5.1018,4,8,6,18-Oct
LB4.8.6.1018,4,8,5,18-Oct
LB4.16.1.1018,4,16,3,18-Oct
LB4.16.2.1018,4,16,3,18-Oct
LB4.16.3.1018,4,16,5,18-Oct
LB4.16.4.1018,4,16,6,18-Oct
LB4.16.5.1018,4,16,6,18-Oct
LB4.16.6.1018,4,16,5,18-Oct
LB4.24.1.1018,4,24,8,18-Oct
LB4.24.2.1018,4,24,13,18-Oct
LB4.24.3.1018,4,24,10,18-Oct
LB4.24.4.1018,4,24,X,18-Oct
LB4.24.5.1018,4,24,7,18-Oct
LB4.24.6.1018,4,24,13,18-Oct
LB5.0.1.1018,5,0,6,18-Oct
LB5.0.2.1018,5,0,7,18-Oct
LB5.0.3.1018,5,0,7,18-Oct
LB5.0.4.1018,5,0,7,18-Oct
LB5.0.5.1018,5,0,6,18-Oct
LB5.0.6.1018,5,0,6,18-Oct
LB5.8.1.1018,5,8,8,18-Oct
LB5.8.2.1018,5,8,6,18-Oct
LB5.8.3.1018,5,8,5,18-Oct
LB5.8.4.1018,5,8,6,18-Oct
LB5.8.5.1018,5,8,6,18-Oct
LB5.8.6.1018,5,8,6,18-Oct
LB5.16.1.1018,5,16,5,18-Oct
LB5.16.2.1018,5,16,5,18-Oct
LB5.16.3.1018,5,16,5,18-Oct
LB5.16.4.1018,5,16,3,18-Oct
LB5.16.5.1018,5,16,5,18-Oct
LB5.16.6.1018,5,16,6,18-Oct
LB5.24.1.1018,5,24,4,18-Oct
LB5.24.2.1018,5,24,6,18-Oct
LB5.24.3.1018,5,24,7,18-Oct
LB5.24.4.1018,5,24,8,18-Oct
LB5.24.5.1018,5,24,7,18-Oct
LB5.24.6.1018,5,24,20,18-Oct
LB6.0.1.1018,6,0,6,18-Oct
LB6.0.2.1018,6,0,5,18-Oct
LB6.0.3.1018,6,0,6,18-Oct
LB6.0.4.1018,6,0,6,18-Oct
LB6.0.5.1018,6,0,6,18-Oct
LB6.0.6.1018,6,0,5,18-Oct
LB6.8.1.1018,6,8,22,18-Oct
LB6.8.2.1018,6,8,6,18-Oct
LB6.8.3.1018,6,8,10,18-Oct
LB6.8.4.1018,6,8,8,18-Oct
LB6.8.5.1018,6,8,7,18-Oct
LB6.8.6.1018,6,8,6,18-Oct
LB6.16.1.1018,6,16,7,18-Oct
LB6.16.2.1018,6,16,7,18-Oct
LB6.16.3.1018,6,16,7,18-Oct
LB6.16.4.1018,6,16,6,18-Oct
LB6.16.5.1018,6,16,9,18-Oct
LB6.16.6.1018,6,16,4,18-Oct
LB6.24.1.1018,6,24,8,18-Oct
LB6.24.2.1018,6,24,5,18-Oct
LB6.24.3.1018,6,24,5,18-Oct
LB6.24.4.1018,6,24,2,18-Oct
LB6.24.5.1018,6,24,7,18-Oct
LB6.24.6.1018,6,24,9,18-Oct
,,,,
BG1.0.1.1018,1,0,36,18-Oct
BG1.0.2.1018,1,0,24,18-Oct
BG1.0.3.1018,1,0,25,18-Oct
BG1.0.4.1018,1,0,18,18-Oct
BG1.0.5.1018,1,0,24,18-Oct
BG1.0.6.1018,1,0,20,18-Oct
BG1.8.1.1018,1,8,25,18-Oct
BG1.8.2.1018,1,8,25,18-Oct
BG1.8.3.1018,1,8,17,18-Oct
BG1.8.4.1018,1,8,27,18-Oct
BG1.8.5.1018,1,8,30,18-Oct
BG1.8.6.1018,1,8,21,18-Oct
BG1.16.1.1018,1,16,21,18-Oct
BG1.16.2.1018,1,16,12,18-Oct
BG1.16.3.1018,1,16,22,18-Oct
BG1.16.4.1018,1,16,23,18-Oct
BG1.16.5.1018,1,16,28,18-Oct
BG1.16.6.1018,1,16,X,18-Oct
BG1.24.1.1018,1,24,11,18-Oct
BG1.24.2.1018,1,24,20,18-Oct
BG1.24.3.1018,1,24,12,18-Oct
BG1.24.4.1018,1,24,9,18-Oct
BG1.24.5.1018,1,24,24,18-Oct
BG1.24.6.1018,1,24,15,18-Oct
BG2.0.1.1018,2,0,36,18-Oct
BG2.0.2.1018,2,0,24,18-Oct
BG2.0.3.1018,2,0,25,18-Oct
BG2.0.4.1018,2,0,18,18-Oct
BG2.0.5.1018,2,0,20,18-Oct
BG2.0.6.1018,2,0,24,18-Oct
BG2.8.1.1018,2,8,25,18-Oct
BG2.8.2.1018,2,8,25,18-Oct
BG2.8.3.1018,2,8,17,18-Oct
BG2.8.4.1018,2,8,27,18-Oct
BG2.8.5.1018,2,8,30,18-Oct
BG2.8.6.1018,2,8,21,18-Oct
BG2.16.1.1018,2,16,21,18-Oct
BG2.16.2.1018,2,16,12,18-Oct
BG2.16.3.1018,2,16,22,18-Oct
BG2.16.4.1018,2,16,23,18-Oct
BG2.16.5.1018,2,16,28,18-Oct
BG2.16.6.1018,2,16,X,18-Oct
BG2.24.1.1018,2,24,11,18-Oct
BG2.24.2.1018,2,24,20,18-Oct
BG2.24.3.1018,2,24,9,18-Oct
BG2.24.4.1018,2,24,12,18-Oct
BG2.24.5.1018,2,24,24,18-Oct
BG2.24.6.1018,2,24,15,18-Oct
BG3.0.1.1018,3,0,8,18-Oct
BG3.0.2.1018,3,0,15,18-Oct
BG3.0.3.1018,3,0,11,18-Oct
BG3.0.4.1018,3,0,15,18-Oct
BG3.0.5.1018,3,0,14,18-Oct
BG3.0.6.1018,3,0,14,18-Oct
BG3.8.1.1018,3,8,21,18-Oct
BG3.8.2.1018,3,8,12,18-Oct
BG3.8.3.1018,3,8,21,18-Oct
BG3.8.4.1018,3,8,22,18-Oct
BG3.8.5.1018,3,8,26,18-Oct
BG3.8.6.1018,3,8,18,18-Oct
BG3.16.1.1018,3,16,30,18-Oct
BG3.16.2.1018,3,16,24,18-Oct
BG3.16.3.1018,3,16,14,18-Oct
BG3.16.4.1018,3,16,15,18-Oct
BG3.16.5.1018,3,16,22,18-Oct
BG3.16.6.1018,3,16,16,18-Oct
BG3.24.1.1018,3,24,12,18-Oct
BG3.24.2.1018,3,24,X,18-Oct
BG3.24.3.1018,3,24,21,18-Oct
BG3.24.4.1018,3,24,22,18-Oct
BG3.24.5.1018,3,24,13,18-Oct
BG3.24.6.1018,3,24,X,18-Oct
BG4.0.1.1018,4,0,9,18-Oct
BG4.0.2.1018,4,0,23,18-Oct
BG4.0.3.1018,4,0,27,18-Oct
BG4.0.4.1018,4,0,20,18-Oct
BG4.0.5.1018,4,0,34,18-Oct
BG4.0.6.1018,4,0,29,18-Oct
BG4.8.1.1018,4,8,11,18-Oct
BG4.8.2.1018,4,8,17,18-Oct
BG4.8.3.1018,4,8,27,18-Oct
BG4.8.4.1018,4,8,18,18-Oct
BG4.8.5.1018,4,8,18,18-Oct
BG4.8.6.1018,4,8,22,18-Oct
BG4.16.1.1018,4,16,7,18-Oct
BG4.16.2.1018,4,16,9,18-Oct
BG4.16.3.1018,4,16,7,18-Oct
BG4.16.4.1018,4,16,18,18-Oct
BG4.16.5.1018,4,16,21,18-Oct
BG4.16.6.1018,4,16,10,18-Oct
BG4.24.1.1018,4,24,6,18-Oct
BG4.24.2.1018,4,24,9,18-Oct
BG4.24.3.1018,4,24,11,18-Oct
BG4.24.4.1018,4,24,22,18-Oct
BG4.24.5.1018,4,24,10,18-Oct
BG4.24.6.1018,4,24,X,18-Oct
BG5.0.1.1018,5,0,35,18-Oct
BG5.0.2.1018,5,0,25,18-Oct
BG5.0.3.1018,5,0,30,18-Oct
BG5.0.4.1018,5,0,31,18-Oct
BG5.0.5.1018,5,0,36,18-Oct
BG5.0.6.1018,5,0,25,18-Oct
BG5.8.1.1018,5,8,18,18-Oct
BG5.8.2.1018,5,8,19,18-Oct
BG5.8.3.1018,5,8,17,18-Oct
BG5.8.4.1018,5,8,22,18-Oct
BG5.8.5.1018,5,8,15,18-Oct
BG5.8.6.1018,5,8,20,18-Oct
BG5.16.1.1018,5,16,6,18-Oct
BG5.16.2.1018,5,16,19,18-Oct
BG5.16.3.1018,5,16,23,18-Oct
BG5.16.4.1018,5,16,27,18-Oct
BG5.16.5.1018,5,16,29,18-Oct
BG5.16.6.1018,5,16,18,18-Oct
BG5.24.1.1018,5,24,9,18-Oct
BG5.24.2.1018,5,24,10,18-Oct
BG5.24.3.1018,5,24,22,18-Oct
BG5.24.4.1018,5,24,10,18-Oct
BG5.24.5.1018,5,24,17,18-Oct
BG5.24.6.1018,5,24,14,18-Oct
BG6.0.1.1018,6,0,22,18-Oct
BG6.0.2.1018,6,0,22,18-Oct
BG6.0.3.1018,6,0,12,18-Oct
BG6.0.4.1018,6,0,31,18-Oct
BG6.0.5.1018,6,0,18,18-Oct
BG6.0.6.1018,6,0,20,18-Oct
BG6.8.1.1018,6,8,13,18-Oct
BG6.8.2.1018,6,8,16,18-Oct
BG6.8.3.1018,6,8,20,18-Oct
BG6.8.4.1018,6,8,18,18-Oct
BG6.8.5.1018,6,8,17,18-Oct
BG6.8.6.1018,6,8,15,18-Oct
BG6.16.1.1018,6,16,17,18-Oct
BG6.16.2.1018,6,16,28,18-Oct
BG6.16.3.1018,6,16,15,18-Oct
BG6.16.4.1018,6,16,8,18-Oct
BG6.16.5.1018,6,16,18,18-Oct
BG6.16.6.1018,6,16,11,18-Oct
BG6.24.1.1018,6,24,24,18-Oct
BG6.24.2.1018,6,24,12,18-Oct
BG6.24.3.1018,6,24,X,18-Oct
BG6.24.4.1018,6,24,5,18-Oct
BG6.24.5.1018,6,24,15,18-Oct
BG6.24.6.1018,6,24,11,18-Oct
,,,,
SG1.0.1.1018,1,0,13,18-Oct
SG1.0.2.1018,1,0,14,18-Oct
SG1.0.3.1018,1,0,21,18-Oct
SG1.0.4.1018,1,0,17,18-Oct
SG1.0.5.1018,1,0,30,18-Oct
SG1.0.6.1018,1,0,22,18-Oct
SG1.8.1.1018,1,8,19,18-Oct
SG1.8.2.1018,1,8,13,18-Oct
SG1.8.3.1018,1,8,18,18-Oct
SG1.8.4.1018,1,8,16,18-Oct
SG1.8.5.1018,1,8,32,18-Oct
SG1.8.6.1018,1,8,13,18-Oct
SG1.16.1.1018,1,16,31,18-Oct
SG1.16.2.1018,1,16,21,18-Oct
SG1.16.3.1018,1,16,19,18-Oct
SG1.16.4.1018,1,16,34,18-Oct
SG1.16.5.1018,1,16,21,18-Oct
SG1.16.6.1018,1,16,10,18-Oct
SG1.24.1.1018,1,24,25,18-Oct
SG1.24.2.1018,1,24,23,18-Oct
SG1.24.3.1018,1,24,25,18-Oct
SG1.24.4.1018,1,24,12,18-Oct
SG1.24.5.1018,1,24,29,18-Oct
SG1.24.6.1018,1,24,27,18-Oct
SG2.0.1.1018,2,0,18,18-Oct
SG2.0.2.1018,2,0,23,18-Oct
SG2.0.3.1018,2,0,17,18-Oct
SG2.0.4.1018,2,0,11,18-Oct
SG2.0.5.1018,2,0,24,18-Oct
SG2.0.6.1018,2,0,25,18-Oct
SG2.8.1.1018,2,8,21,18-Oct
SG2.8.2.1018,2,8,16,18-Oct
SG2.8.3.1018,2,8,11,18-Oct
SG2.8.4.1018,2,8,13,18-Oct
SG2.8.5.1018,2,8,26,18-Oct
SG2.8.6.1018,2,8,21,18-Oct
SG2.16.1.1018,2,16,21,18-Oct
SG2.16.2.1018,2,16,24,18-Oct
SG2.16.3.1018,2,16,30,18-Oct
SG2.16.4.1018,2,16,29,18-Oct
SG2.16.5.1018,2,16,22,18-Oct
SG2.16.6.1018,2,16,24,18-Oct
SG2.24.1.1018,2,24,20,18-Oct
SG2.24.2.1018,2,24,19,18-Oct
SG2.24.3.1018,2,24,17,18-Oct
SG2.24.4.1018,2,24,27,18-Oct
SG2.24.5.1018,2,24,18,18-Oct
SG2.24.6.1018,2,24,32,18-Oct
SG3.0.1.1018,3,0,17,18-Oct
SG3.0.2.1018,3,0,18,18-Oct
SG3.0.3.1018,3,0,32,18-Oct
SG3.0.4.1018,3,0,30,18-Oct
SG3.0.5.1018,3,0,16,18-Oct
SG3.0.6.1018,3,0,26,18-Oct
SG3.8.1.1018,3,8,16,18-Oct
SG3.8.2.1018,3,8,26,18-Oct
SG3.8.3.1018,3,8,27,18-Oct
SG3.8.4.1018,3,8,24,18-Oct
SG3.8.5.1018,3,8,25,18-Oct
SG3.8.6.1018,3,8,28,18-Oct
SG3.16.1.1018,3,16,18,18-Oct
SG3.16.2.1018,3,16,12,18-Oct
SG3.16.3.1018,3,16,13,18-Oct
SG3.16.4.1018,3,16,17,18-Oct
SG3.16.5.1018,3,16,13,18-Oct
SG3.16.6.1018,3,16,16,18-Oct
SG3.24.1.1018,3,24,16,18-Oct
SG3.24.2.1018,3,24,11,18-Oct
SG3.24.3.1018,3,24,13,18-Oct
SG3.24.4.1018,3,24,17,18-Oct
SG3.24.5.1018,3,24,13,18-Oct
SG3.24.6.1018,3,24,16,18-Oct
SG4.0.1.1018,4,0,23,18-Oct
SG4.0.2.1018,4,0,12,18-Oct
SG4.0.3.1018,4,0,31,18-Oct
SG4.0.4.1018,4,0,24,18-Oct
SG4.0.5.1018,4,0,25,18-Oct
SG4.0.6.1018,4,0,19,18-Oct
SG4.8.1.1018,4,8,26,18-Oct
SG4.8.2.1018,4,8,26,18-Oct
SG4.8.3.1018,4,8,22,18-Oct
SG4.8.4.1018,4,8,8,18-Oct
SG4.8.5.1018,4,8,30,18-Oct
SG4.8.6.1018,4,8,20,18-Oct
SG4.16.1.1018,4,16,13,18-Oct
SG4.16.2.1018,4,16,15,18-Oct
SG4.16.3.1018,4,16,24,18-Oct
SG4.16.4.1018,4,16,10,18-Oct
SG4.16.5.1018,4,16,10,18-Oct
SG4.16.6.1018,4,16,9,18-Oct
SG4.24.1.1018,4,24,16,18-Oct
SG4.24.2.1018,4,24,9,18-Oct
SG4.24.3.1018,4,24,15,18-Oct
SG4.24.4.1018,4,24,29,18-Oct
SG4.24.5.1018,4,24,12,18-Oct
SG4.24.6.1018,4,24,12,18-Oct
SG5.0.1.1018,5,0,14,18-Oct
SG5.0.2.1018,5,0,24,18-Oct
SG5.0.3.1018,5,0,19,18-Oct
SG5.0.4.1018,5,0,29,18-Oct
SG5.0.5.1018,5,0,26,18-Oct
SG5.0.6.1018,5,0,24,18-Oct
SG5.8.1.1018,5,8,19,18-Oct
SG5.8.2.1018,5,8,X,18-Oct
SG5.8.3.1018,5,8,27,18-Oct
SG5.8.4.1018,5,8,31,18-Oct
SG5.8.5.1018,5,8,28,18-Oct
SG5.8.6.1018,5,8,29,18-Oct
SG5.16.1.1018,5,16,17,18-Oct
SG5.16.2.1018,5,16,12,18-Oct
SG5.16.3.1018,5,16,16,18-Oct
SG5.16.4.1018,5,16,10,18-Oct
